TEFF,LOGG,O_FE,MG_FE,FE_H
4105.5806,1.6202891,0.062144004,0.030058004,0.034094
4891.005,2.5597982,0.08779999,0.015862994,-0.12989
4552.0146,1.9735141,0.14017901,0.13012701,-0.35209
3855.7554,1.0963631,0.15687399,0.18343998,-0.06174
5061.389,3.2301302,0.0664656,0.06456375,-0.034172
4464.42,2.205642,0.036131,0.035616998,0.047774
4277.767,2.1838245,0.06885809,0.06387901,0.28254
6171.255,4.4584126,-0.0877721,-0.1264835,-0.039572
6020.725,4.2172885,0.0646909,0.0013145022,-0.051958
4367.0566,1.7938299,0.272023,0.292833,-0.34015
4647.3447,4.611797,0.02634789,-0.0005965084,-0.15312
4407.306,1.3933177,0.329663,0.42453298,-0.80998
5592.115,4.489185,0.081000894,-0.0094725005,-0.058975
4681.858,2.5478327,0.0586335,0.044822,-0.080472
4789.4497,4.572502,0.1275729,0.2243385,-0.10003
3696.2651,0.6589743,0.107814014,0.06694701,-0.28992
5100.615,2.41229,0.365923,0.25660297,-0.74213
5155.5176,4.5073457,0.043760903,0.1130955,0.097512
4004.9924,4.630704,-0.0429541,-0.091014504,-0.061556
4791.0195,2.4400775,0.045901,0.029923007,-0.12656
3848.4163,1.5083435,0.043874025,0.028414011,0.36652
3864.8328,0.93761724,0.13213399,0.126708,-0.37627
4905.622,3.5216165,0.044147015,0.04842201,0.32525
6145.8677,4.3721724,0.07303089,-0.099007495,0.073374
3781.8074,0.8509942,0.305903,0.33240297,-0.78423
3731.9438,4.1237845,-0.08672209,-0.05796148,-0.21832
4982.0933,3.298251,-0.008340998,0.048144005,0.033344
4782.0967,2.4417782,0.039813004,0.03374301,-0.087915
3986.4756,1.4647875,0.08016699,0.079700105,0.10303
4148.317,1.2989407,0.10355398,0.08981401,-0.41832
4675.784,2.4463663,0.026556,0.046313003,0.15046
6048.631,4.283543,0.19209291,0.032044515,-0.18827
5233.541,3.9143887,0.145962,0.125851,-0.2119
4812.066,2.6206117,0.11592299,0.09817299,-0.28829
6248.739,4.132488,0.1586229,0.00046652555,-0.30206
4035.1226,1.3521824,0.299683,0.305653,-0.3881
5169.286,4.523643,0.1116679,0.1512475,-0.068501
4264.0703,1.9307003,0.06760509,0.051339004,0.051843
3541.6243,0.33584264,0.159049,0.17494701,-0.37773
4216.176,1.7921288,0.127538,0.12266101,-0.12588
4895.9365,2.4743018,0.365323,0.253833,-0.44122
5818.0723,4.187915,0.020802885,-0.025722504,0.19187
6270.4165,4.091652,0.09288389,-0.0561345,0.02165
4563.548,1.8857663,0.158043,0.127945,-0.42337
3416.586,0.4670965,0.085365,0.042760003,0.031073
4843.2495,2.33371,0.0641745,0.049718976,-0.36227
4757.5474,2.6220276,0.22195299,0.241663,-0.21269
5265.3564,4.519822,0.09731989,-0.0035604965,0.031097
5966.1973,4.1907916,0.1253829,-0.03836149,0.125
4984.8857,3.2579114,0.0082169995,0.020253003,0.097207
4672.852,2.3265636,0.13825342,0.12917341,0.00093078986
4810.5195,2.1639922,0.14107999,0.15736598,-0.52917
4933.708,2.6257608,-0.0007360019,-0.010293994,0.025573
3291.24,0.6130782,0.040272996,-0.047767,0.23213
4533.3467,2.2284992,0.136286,0.13392201,0.054952
4672.6904,2.350237,0.15025698,0.14435497,-0.32818
3863.1355,1.0665636,0.101495,0.058172002,-0.226
4965.892,2.5013356,0.141085,0.10706398,-0.44595
4585.0654,2.4538887,0.0553254,0.0572874,-0.015861
4894.067,3.3790858,0.27556297,0.317313,-0.29996
5915.8555,4.000209,0.0929863,-0.07077409,0.0059066
4809.3047,3.139068,0.052422993,0.075217895,0.11196
4911.5186,2.9726462,0.030481601,0.0472516,0.0025575
4745.1865,2.51738,-0.011707999,-0.014482997,0.092888
3354.967,-0.16751128,-0.017770052,0.320903,-1.0338
6456.7114,3.998611,0.1400339,-0.020627491,-0.077801
4691.2246,2.4030757,0.111806,0.094155,-0.090652
3903.3289,1.0122705,0.224293,0.246003,-0.28239
5752.4463,4.3731384,-0.0323071,-0.005406495,0.027649
4617.121,2.671261,0.011280999,0.012631014,0.19912
5777.996,3.4938853,0.09478991,-0.007452503,-0.23417
4415.8994,1.8934858,0.14935401,0.12392101,-0.41756
4014.7153,1.3104825,0.309583,0.31446302,-0.39855
3438.5557,0.74299276,0.06314771,-0.028777003,0.21852
4648.3657,2.1645594,0.14773202,0.11436902,-0.28011
5024.3525,2.269482,0.47728303,0.301503,-0.8596
3623.457,0.5237051,0.0650796,0.053912014,-0.46328
4313.874,1.6826425,0.30437297,0.31467298,-0.61603
5197.3506,4.522093,0.1024829,0.02121751,-0.21294
4864.698,2.4834547,0.05715671,0.050044015,-0.1843
4302.072,1.8124676,0.055150896,0.039138995,0.045639
4032.5183,1.1817276,0.31651303,0.308543,-0.66385
4936.5244,3.3665748,0.03194499,0.027441993,0.1427
4856.376,3.0390384,0.079232,0.043206003,-0.079163
4537.004,2.5600376,0.131321,0.150456,0.01828
5043.3613,2.7902076,0.027044896,-0.051796097,0.0048411004
4621.751,2.499349,0.014744006,0.012720011,0.11876
4693.778,2.8934069,0.12969899,0.154506,-0.041468
4400.691,2.054238,0.034649,0.016261,-0.023535
5043.7153,3.775805,0.352963,0.35002297,-0.51574
5880.9297,4.1573963,0.005845502,-0.020075493,0.094422
4271.887,1.5125017,0.30534303,0.32656303,-0.50957
4591.9824,2.3455992,0.044276,0.033622004,-0.020367
4535.3257,2.0688672,0.157383,0.143953,-0.39354
4733.7485,2.529166,0.205993,0.252843,-0.37248
4997.6157,3.420596,0.022496998,0.06675531,0.021394
4671.069,2.6347208,0.0140039995,0.022016004,0.10774
4262.296,2.0761898,0.07653752,0.06544502,0.15698
